Naminé	Kingdom_hearts_2.5_script.xml	afterCut-6	Roxas
Pete	Kingdom_hearts_2.5_script.xml	afterCut-18	Donald
Pete	Kingdom_hearts_2.5_script.xml	afterCut-18	Donald
Pete	Kingdom_hearts_2.5_script.xml	afterCut-18	Goofy
Piglet	Kingdom_hearts_2.5_script.xml	afterCut-5	Sora
Piglet	Kingdom_hearts_2.5_script.xml	afterCut-5	Cloud
Piglet	Kingdom_hearts_2.5_script.xml	afterCut-5	Sora
Riku & Mickey	kingdom_hearts_3_script.xml	afterCut-1	Donald
Riku & Mickey	kingdom_hearts_3_script.xml	afterCut-1	Goofy
Riku & Mickey	kingdom_hearts_3_script.xml	afterCut-1	Sora
Riku & Mickey	kingdom_hearts_3_script.xml	afterCut-1	Mickey
Riku & Mickey	kingdom_hearts_3_script.xml	afterCut-1	Riku
Sarge	kingdom_hearts_3_script.xml	afterCut-1	Rex
Saïx	kingdom_hearts_3_script.xml	afterCut-1	?????
Saïx	kingdom_hearts_3_script.xml	afterCut-1	?????
Saïx	kingdom_hearts_3_script.xml	afterCut-1	?????
Scrooge	kingdom_hearts_3_script.xml	afterCut-1	Sora
Scrooge	Kingdom_hearts_2.5_script.xml	afterCut-18	Donald
Scrooge	Kingdom_hearts_2.5_script.xml	afterCut-18	Sora
Scrooge	Kingdom_hearts_2.5_script.xml	afterCut-18	Goofy
Scrooge	Kingdom_hearts_2.5_script.xml	afterCut-18	Donald
Sora & Donald	kingdom_hearts_3_script.xml	afterCut-1	Goofy
Sora & Donald	Kingdom_hearts_2.5_script.xml	afterCut-3	Hercules
Sora & Donald	Kingdom_hearts_2.5_script.xml	afterCut-3	Goofy
Sora & Donald	Kingdom_hearts_2.5_script.xml	afterCut-3	Hercules
Sulley	kingdom_hearts_3_script.xml	afterCut-1	????
Sulley	kingdom_hearts_3_script.xml	afterCut-1	????
Tia Dalma	kingdom_hearts_3_script.xml	afterCut-1	Will
Tia Dalma	kingdom_hearts_3_script.xml	afterCut-1	Elizabeth
Vexen	kingdom_hearts_3_script.xml	afterCut-1	Luxord
Vexen	kingdom_hearts_3_script.xml	afterCut-1	Luxord
Vexen	Kingdom_hearts_2.5_script.xml	afterCut-10	??????
Woman	Kingdom_hearts_2.5_script.xml	afterCut-5	Roxas
Xion	kingdom_hearts_3_script.xml	afterCut-1	Xemnas
Xion	kingdom_hearts_3_script.xml	afterCut-1	Roxas
Xion	kingdom_hearts_3_script.xml	afterCut-1	Xemnas
Xion	kingdom_hearts_3_script.xml	afterCut-1	Roxas
Xion	kingdom_hearts_3_script.xml	afterCut-1	Xemnas
Xion	kingdom_hearts_3_script.xml	afterCut-1	Roxas
Xion	kingdom_hearts_3_script.xml	afterCut-1	Xemnas
Yen Sid	Kingdom_hearts_2.5_script.xml	afterCut-27	Goofy
Yen Sid	Kingdom_hearts_2.5_script.xml	afterCut-27	Sora
Yen Sid	Kingdom_hearts_2.5_script.xml	afterCut-27	Sora
Young Xehanort	kingdom_hearts_3_script.xml	afterCut-1	Sora
